"","","","","Annexe: Autres Pesticides recherchés","","","",""
"","","LQ","","","LQ","","","LQ"
"Matière active","Résultats (µg/l)","","Matière active","Résultats (µg/l)","","Matière active","Résultats (µg/l)",""
"","","(µg/l)","","","(µg/l)","","","(µg/l)"
"2,4","","","","","","","",""
"","<LQ","0,01","Azoxystrobine","<LQ","0,01","Butafenacil","<LQ","0,01"
"Dimethylaniline","","","","","","","",""
"2,4’-DDE","<LQ","0,01","Barban","<LQ","0,01","Butamifos","<LQ","0,01"
"2,4’-DDT*","<LQ","0,01","Bantazone","<LQ","0,01","Butoxycaboxim","<LQ","0,01"
"2-phénylphénol","<LQ","0,01","Barbendazim","<LQ","0,01","Butoxycarboxim Sulfoxid","<LQ","0,01"
"4,4’-DDE*","<LQ","0,01","Benalaxyl","<LQ","0,01","Butraline","<LQ","0,01"
"4,4'-DDD*","<LQ","0,01","Bendanil","<LQ","0,01","Buturon","<LQ","0,01"
"4,4'-DDT","<LQ","0,01","Bendiocarb","<LQ","0,01","Butylate","<LQ","0,01"
"Acephate","<LQ","0,01","Benfluraline","<LQ","0,01","Cadusafos","<LQ","0,01"
"Acequinocyl","<LQ","0,01","Benfuracarb","<LQ","0,01","Captafol","<LQ","0,01"
"Acetamipride","<LQ","0,01","Benodanil","<LQ","0,01","Captan","<LQ","0,01"
"Acetochlore","<LQ","0,01","Benoxacor","<LQ","0,01","Carbaryl","<LQ","0,01"
"Acibenzolar-S-","","","","","","","",""
"","<LQ","0,01","bensulfuron","<LQ","0,01","Carbendazime","<LQ","0,01"
"méthyle","","","","","","","",""
"Aclonifen","<LQ","0,01","Bentazone","<LQ","0,01","Carbetamide","<LQ","0,01"
"","","","Benthiavalicarb","","","Carbofuran 3-","",""
"Acrinathrine","<LQ","0,01","","<LQ","0,01","","<LQ","0,01"
"","","","Isopropyl","","","hydroxy+NH4","",""
"Alachlore","<LQ","0,01","Benzoximate","<LQ","0,01","Carbofuran*","<LQ","0.001"
"Aldicarb","<LQ","0,01","Benzoylprop ethyl","<LQ","0,01","Carbophenothion","<LQ","0,01"
"","","","Beromophos-","","","","",""
"Aldicarb Sulfone","<LQ","0,01","","<LQ","0,01","Carbosulfan","<LQ","0,01"
"","","","methyl","","","","",""
"Aldicarb","","","","","","","",""
"","<LQ","0,01","BHC alpha","<LQ","0,01","Carboxin","<LQ","0,01"
"Sulfoxide","","","","","","","",""
"Aldrine*","<LQ","0,01","BHC Beta","<LQ","0,01","Carfentrazone-éthyle","<LQ","0,01"
"Allethrin","<LQ","0,01","BHC gamma","<LQ","0,01","Chinomethionate","<LQ","0,01"
"Allidoclor","<LQ","0,01","BHC-delta","<LQ","0,01","Chlorantraniliprole","<LQ","0,01"
"Alpha-","","","","","","","",""
"","<LQ","0,01","Bifenazate","<LQ","0,01","Chlorbenside","<LQ","0,01"
"Endosulfan","","","","","","","",""
"Ametoctradin","<LQ","0,01","Bifenox","<LQ","0,01","Chlorbromuron","<LQ","0,01"
"Ametryn","<LQ","0,01","Bifenthrine","<LQ","0,01","chlordane alpha-cis","<LQ","0,01"
"Aminocarb","<LQ","0,01","Binapacryl","<LQ","0,01","Chlorbufam","<LQ","0,01"
"","","","Bioresmethrin","","","","",""
"Amisulbrom","<LQ","0,01","(Resmethrin-","<LQ","0,01","Chlordane -gamme Trans","<LQ","0,01"
"","","","trans)","","","","",""
"Amitraze","<LQ","0,01","Biphenyle","<LQ","0,01","Chlordécone","<LQ","0,01"
"Ancymidol","<LQ","0,01","Bispyribac sodium","<LQ","0,01","Chlorfenapyr","<LQ","0,01"
"Anilofos","<LQ","0,01","Bitertanol","<LQ","0,01","Chlorfenson","<LQ","0,01"
"Aramite+NH4","<LQ","0,01","Boscalid","<LQ","0,01","Chlorfenvinphos ethyl","<LQ","0,01"
"Asulam","<LQ","0,01","brodifacoum","<LQ","0,01","Chlorfluazuron","<LQ","0,01"
"Atrazine","<LQ","0,01","Bromacil","<LQ","0,01","Chloridazon","<LQ","0,01"
"Atrazine-desethyl","<LQ","0,01","Bromobutide","<LQ","0,01","Chlormephos","<LQ","0,01"
"Azaconazole","<LQ","0,01","Bromophos-ethyl","<LQ","0,01","Chlorobenzilate","<LQ","0,01"
"Azadirachtine","<LQ","0,01","Bromopropylate","<LQ","0,01","Chlorobromuron","<LQ","0,01"
"Azamethiophos","<LQ","0,01","Bromuconazole","<LQ","0,01","Chloroneb","<LQ","0,01"
"Azimisulfuron","<LQ","0,01","Bupirimate","<LQ","0,01","Chloropropylate","<LQ","0,01"
"Azinphos-Ethyl","<LQ","0,01","Buprofezine","<LQ","0,01","Chlorothalonil","<LQ","0,01"
"Azinphos-methyl","<LQ","0,01","Butachlor","<LQ","0,01","Chlorotoluron","<LQ","0,01"
