"","Résultats",""
"Matière active","","LQ (µg/l)"
"","(µg/l)",""
"Tribufos","<LQ","0,01"
"Trichlorfon","<LQ","0,01"
"Triclopyr","<LQ","0,01"
"Tricyclazole","<LQ","0,01"
"Tridemorph","<LQ","0,01"
"Trieatazine","<LQ","0,01"
"Trifloxystrobine","<LQ","0,01"
"Triflumizole","<LQ","0,01"
"Triflumuron","<LQ","0,01"
"Trifluraline","<LQ","0,01"
"Triforine","<LQ","0,01"
"Trinexapac ethy","<LQ","0,01"
"Triticonazole","<LQ","0,01"
"uizalofop-p","<LQ","0,01"
"Uniconazole","<LQ","0,01"
"Vamidothion","<LQ","0,01"
"Vinclozoline","<LQ","0,01"
"Zoxamide","<LQ","0,01"
